	time (ns)	angle (degree)	average angle	angle standard deviation
570	1070.000	7.567	8.352	1.479
571	1071.000	7.426	8.338	1.482
572	1072.000	8.447	8.161	1.503
573	1073.000	9.387	8.010	1.593
574	1074.000	4.405	7.814	1.914
575	1075.000	7.367	7.666	1.997
576	1076.000	6.328	7.526	2.058
577	1077.000	6.017	7.452	2.076
578	1078.000	6.828	7.408	2.059
579	1079.000	9.247	7.437	2.091
580	1080.000	10.694	7.302	1.972
581	1081.000	8.205	7.226	1.910
582	1082.000	8.854	7.294	2.013
583	1083.000	7.864	7.513	2.320
584	1084.000	5.871	7.638	2.398
585	1085.000	5.304	7.722	2.464
586	1086.000	2.701	7.884	2.698
587	1087.000	4.833	8.221	2.771
588	1088.000	5.006	8.414	2.876
589	1089.000	6.071	8.598	2.884
590	1090.000	7.680	8.840	2.912
591	1091.000	10.034	9.048	2.947
592	1092.000	7.400	9.107	2.966
593	1093.000	7.832	9.127	2.979
594	1094.000	10.973	9.295	3.043
595	1095.000	13.056	9.423	3.090
596	1096.000	10.541	9.638	3.163
597	1097.000	10.561	9.865	3.084
598	1098.000	13.418	10.017	2.940
599	1099.000	12.839	10.388	2.536
600	1100.000	12.200	10.703	2.295
601	1101.000	10.925	10.945	1.964
602	1102.000	12.065	11.196	1.698
603	1103.000	12.030	11.385	1.547
604	1104.000	10.708	11.486	1.537
605	1105.000	11.214	11.626	1.289
606	1106.000	12.399	11.685	1.134
607	1107.000	12.047	11.702	1.126
608	1108.000	13.239	11.778	1.275
609	1109.000	11.546	11.954	1.396
610	1110.000	9.112	11.915	1.450
611	1111.000	11.974	11.911	1.445
612	1112.000	12.706	11.967	1.508
613	1113.000	11.069	11.974	1.510
614	1114.000	12.329	12.007	1.495
615	1115.000	12.422	11.997	1.496
616	1116.000	12.559	11.959	1.507
617	1117.000	10.899	12.079	1.522
618	1118.000	9.287	12.205	1.577
619	1119.000	11.407	12.199	1.577
620	1120.000	14.957	12.183	1.580
621	1121.000	14.951	12.135	1.565
622	1122.000	9.582	12.105	1.584
623	1123.000	13.298	12.105	1.583
624	1124.000	14.245	11.930	1.822
625	1125.000	12.384	11.747	1.966
626	1126.000	11.744	11.602	2.143
627	1127.000	11.829	11.387	2.328
628	1128.000	11.075	11.072	2.689
629	1129.000	13.691	10.826	2.825
630	1130.000	14.378	10.749	2.849
631	1131.000	12.237	10.657	2.933
632	1132.000	11.646	10.614	2.930
633	1133.000	12.048	10.358	2.812
634	1134.000	10.788	10.187	2.646
635	1135.000	9.127	10.245	2.648
636	1136.000	7.600	10.128	2.571
637	1137.000	8.111	9.894	2.443
638	1138.000	7.453	9.707	2.423
639	1139.000	6.968	9.537	2.424
640	1140.000	4.527	9.311	2.463
641	1141.000	6.407	9.079	2.562
642	1142.000	8.972	8.773	2.443
643	1143.000	7.010	8.418	2.230
644	1144.000	10.311	8.113	2.207
645	1145.000	8.564	7.980	2.082
646	1146.000	10.671	7.827	1.903
647	1147.000	11.042	7.745	1.813
648	1148.000	10.360	7.741	1.810
649	1149.000	8.405	7.828	1.854
650	1150.000	7.713	7.794	1.857
651	1151.000	7.487	7.933	1.958
652	1152.000	6.195	8.007	1.955
653	1153.000	5.271	8.231	1.858
654	1154.000	6.025	8.448	1.951
655	1155.000	5.503	8.513	1.995
656	1156.000	4.613	8.740	2.136
657	1157.000	8.340	8.672	2.111
658	1158.000	8.215	8.835	2.256
659	1159.000	8.740	8.814	2.240
660	1160.000	9.028	8.761	2.201
661	1161.000	9.779	8.689	2.175
662	1162.000	7.250	8.673	2.179
663	1163.000	10.936	8.704	2.171
664	1164.000	8.809	8.774	2.158
665	1165.000	10.119	8.917	2.097
666	1166.000	11.836	9.142	1.989
667	1167.000	10.597	9.412	2.006
668	1168.000	12.695	9.835	2.246
669	1169.000	8.601	10.260	2.223
670	1170.000	12.658	10.524	2.373
671	1171.000	10.141	10.785	2.465
672	1172.000	9.709	10.952	2.462
673	1173.000	8.569	11.081	2.442
674	1174.000	7.991	11.210	2.455
675	1175.000	8.497	11.422	2.324
676	1176.000	9.246	11.545	2.379
677	1177.000	9.757	11.744	2.348
678	1178.000	10.904	11.892	2.357
679	1179.000	12.774	12.009	2.427
680	1180.000	16.062	12.177	2.470
681	1181.000	15.248	12.365	2.681
682	1182.000	14.944	12.637	2.628
683	1183.000	14.742	12.742	2.680
684	1184.000	12.915	12.919	2.647
685	1185.000	12.250	12.978	2.589
686	1186.000	13.009	13.220	2.438
687	1187.000	12.532	13.358	2.217
688	1188.000	14.031	13.478	2.015
689	1189.000	13.773	13.537	1.904
690	1190.000	13.808	13.666	1.740
691	1191.000	14.776	13.680	1.719
692	1192.000	14.788	13.667	1.727
693	1193.000	17.402	13.468	1.725
694	1194.000	15.410	13.301	1.749
695	1195.000	15.260	13.095	1.847
696	1196.000	14.581	12.828	2.068
697	1197.000	11.178	12.682	2.188
698	1198.000	14.622	12.627	2.216
699	1199.000	11.433	12.563	2.228
700	1200.000	11.498	12.647	2.265
701	1201.000	10.730	12.722	2.342
702	1202.000	12.991	12.617	2.352
703	1203.000	11.241	12.489	2.371
704	1204.000	12.449	12.448	2.339
705	1205.000	11.099	12.547	2.490
706	1206.000	11.059	12.469	2.358
707	1207.000	9.808	12.446	2.330
708	1208.000	8.063	12.396	2.281
709	1209.000	9.256	12.340	2.242
